movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,region,director_name,director_profession,release_date,production_budget,domestic_gross,worldwide_gross
tt1024648,Argo,Argo,2012,120.0,"Biography,Drama,Thriller",7.7,534683.0,AR,Ben Affleck,"producer,actor,writer","Oct 12, 2012","$44,500,000","$136,025,503","$227,140,757"
tt1029360,Poltergeist,Poltergeist,2015,93.0,"Horror,Thriller",4.9,51538.0,HR,Gil Kenan,"director,writer,soundtrack","May 22, 2015","$35,000,000","$47,425,125","$95,713,069"
tt1038919,The Bounty Hunter,The Bounty Hunter,2010,110.0,"Action,Comedy,Romance",5.6,112444.0,US,Andy Tennant,"producer,director,writer","Mar 19, 2010","$45,000,000","$67,061,228","$135,808,837"
tt1043726,The Legend of Hercules,The Legend of Hercules,2014,99.0,"Action,Adventure,Fantasy",4.2,50352.0,Unknown,Renny Harlin,"producer,director,writer","Jan 10, 2014","$70,000,000","$18,848,538","$58,953,319"
tt1067774,Monte Carlo,Monte Carlo,2011,109.0,"Adventure,Comedy,Family",5.8,38731.0,BR,Thomas Bezucha,"writer,director","Jul 1, 2011","$20,000,000","$23,186,769","$39,686,769"
tt1070781,Good Intentions,Good Intentions,2010,84.0,Comedy,5.2,605.0,Unknown,Jim Issa,"editor,actor,director","Dec 31, 2009","$10,000,000",$0,$0
tt1075747,Jonah Hex,Jonah Hex,2010,81.0,"Action,Drama,Fantasy",4.7,51860.0,TR,Jimmy Hayward,"actor,animation_department,director","Jun 18, 2010","$47,000,000","$10,547,117","$11,022,696"
tt1092026,Paul,Paul,2011,104.0,"Adventure,Comedy,Sci-Fi",7.0,220567.0,PL,Greg Mottola,"director,producer,writer","Mar 18, 2011","$40,000,000","$37,412,945","$101,162,106"
tt1111235,Trance,Trance,2010,83.0,Horror,4.6,77.0,US,Hans Rodionoff,"writer,miscellaneous,producer","Apr 5, 2013","$16,000,000","$2,322,593","$22,594,052"
tt1116184,Jackass 3D,Jackass 3D,2010,95.0,"Action,Comedy,Documentary",7.0,53289.0,US,Jeff Tremaine,"writer,producer,director","Oct 15, 2010","$20,000,000","$117,229,692","$171,685,793"
tt1125929,Love Ranch,Love Ranch,2010,117.0,"Biography,Comedy,Drama",5.6,2742.0,US,Taylor Hackford,"producer,director,writer","Jun 30, 2010","$25,000,000","$137,885","$146,149"
tt1126590,Big Eyes,Big Eyes,2014,106.0,"Biography,Crime,Drama",7.0,77447.0,US,Tim Burton,"producer,miscellaneous,director","Dec 25, 2014","$10,000,000","$14,482,031","$27,317,872"
tt1126591,Burlesque,Burlesque,2010,119.0,"Drama,Music,Musical",6.4,71021.0,DE,Steve Antin,"actor,writer,producer","Nov 24, 2010","$55,000,000","$39,440,655","$90,552,675"
tt1130964,The 5th Quarter,The 5th Quarter,2010,90.0,"Biography,Drama,Sport",5.7,1379.0,US,Rick Bieber,"producer,director,writer","Mar 25, 2011","$6,000,000","$408,159","$408,159"
tt1133985,Green Lantern,Green Lantern,2011,114.0,"Action,Adventure,Sci-Fi",5.5,252281.0,Unknown,Martin Campbell,"director,producer,actor","Jun 17, 2011","$200,000,000","$116,601,172","$219,535,492"
tt1134666,Dwegons and Leprechauns,Dwegons and Leprechauns,2014,98.0,Animation,4.2,84.0,Unknown,Tom Walsh,"producer,writer,director","Aug 29, 2014","$20,000,000",$0,$0
tt1142977,Frankenweenie,Frankenweenie,2012,87.0,"Animation,Comedy,Family",7.0,89489.0,FI,Tim Burton,"producer,miscellaneous,director","Oct 5, 2012","$39,000,000","$35,287,788","$81,150,788"
tt1152822,Freakonomics,Freakonomics,2010,93.0,Documentary,6.4,6466.0,Unknown,Heidi Ewing,"director,producer,writer","Oct 1, 2010","$2,900,000","$101,270","$172,867"
tt1152822,Freakonomics,Freakonomics,2010,93.0,Documentary,6.4,6466.0,Unknown,Alex Gibney,"producer,director,writer","Oct 1, 2010","$2,900,000","$101,270","$172,867"
tt1152822,Freakonomics,Freakonomics,2010,93.0,Documentary,6.4,6466.0,Unknown,Seth Gordon,"producer,miscellaneous,director","Oct 1, 2010","$2,900,000","$101,270","$172,867"
tt1152822,Freakonomics,Freakonomics,2010,93.0,Documentary,6.4,6466.0,Unknown,Rachel Grady,"director,producer,writer","Oct 1, 2010","$2,900,000","$101,270","$172,867"
tt1152822,Freakonomics,Freakonomics,2010,93.0,Documentary,6.4,6466.0,Unknown,Eugene Jarecki,"director,producer,writer","Oct 1, 2010","$2,900,000","$101,270","$172,867"
tt1152822,Freakonomics,Freakonomics,2010,93.0,Documentary,6.4,6466.0,Unknown,Morgan Spurlock,"producer,writer,director","Oct 1, 2010","$2,900,000","$101,270","$172,867"
tt1152827,Super Hybrid,Super Hybrid,2010,94.0,"Horror,Sci-Fi,Thriller",4.0,1537.0,GB,Eric Valette,"director,writer","May 10, 2002","$200,000","$162,605","$162,605"
tt1152830,The Joneses,The Joneses,2011,117.0,"Comedy,Drama",6.9,87.0,US,Chris Tyrrell,"writer,producer,director","Apr 16, 2010","$10,000,000","$1,475,746","$3,541,565"
tt1164999,Biutiful,Biutiful,2010,148.0,"Drama,Romance",7.5,80382.0,IL,Alejandro G. Iñárritu,"producer,director,writer","Jan 28, 2011","$35,000,000","$5,101,237","$24,687,524"
tt1170358,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,2013,161.0,"Adventure,Fantasy",7.8,565563.0,Unknown,Peter Jackson,"producer,director,writer","Dec 13, 2013","$250,000,000","$258,366,855","$960,366,855"
tt1192628,Rango,Rango,2011,107.0,"Adventure,Animation,Comedy",7.2,215761.0,AR,Gore Verbinski,"director,producer,writer","Mar 4, 2011","$135,000,000","$123,477,607","$245,724,600"
tt1196939,Gracie,Gracie,2015,71.0,"Crime,Drama,Fantasy",7.0,31.0,Unknown,Jane Alexandra Foster,"producer,director,writer","Jun 1, 2007","$9,000,000","$2,956,339","$3,922,043"
tt1198101,Kites,Kites,2010,123.0,"Action,Drama,Romance",6.1,11353.0,Unknown,Anurag Basu,"director,writer,producer","May 21, 2010","$9,200,000","$1,685,269","$17,155,193"
tt1198101,Kites,Kites,2010,123.0,"Action,Drama,Romance",6.1,11353.0,Unknown,Sunil Subramani,"assistant_director,director","May 21, 2010","$9,200,000","$1,685,269","$17,155,193"
tt1204977,Ouija,Ouija,2014,89.0,"Horror,Mystery,Thriller",4.5,44054.0,UY,Stiles White,"special_effects,writer,producer","Oct 24, 2014","$5,000,000","$50,856,010","$103,300,632"
tt1210039,Blood Done Sign My Name,Blood Done Sign My Name,2010,128.0,Drama,6.6,494.0,US,Jeb Stuart,"writer,producer,director","Feb 19, 2010","$10,000,000","$109,383","$109,383"
tt1210819,The Lone Ranger,The Lone Ranger,2013,150.0,"Action,Adventure,Western",6.4,208827.0,IT,Gore Verbinski,"director,producer,writer","Jul 2, 2013","$275,000,000","$89,302,115","$260,002,115"
tt1211890,Middle of Nowhere,Middle of Nowhere,2012,97.0,Drama,6.4,1406.0,Unknown,Ava DuVernay,"miscellaneous,writer,producer","Oct 12, 2012","$200,000","$236,806","$236,806"
tt1212428,The Lost City of Z,The Lost City of Z,2016,141.0,"Adventure,Biography,Drama",6.6,66475.0,Unknown,James Gray,"director,writer,producer","Apr 14, 2017","$30,000,000","$8,574,339","$17,121,823"
tt1213663,The World's End,The World's End,2013,109.0,"Action,Comedy,Sci-Fi",7.0,235308.0,Unknown,Edgar Wright,"director,writer,actor","Aug 23, 2013","$20,000,000","$26,004,851","$47,508,505"
tt1216475,Cars 2,Cars 2,2011,106.0,"Adventure,Animation,Comedy",6.2,138914.0,UY,Bradford Lewis,"producer,actor,visual_effects","Jun 24, 2011","$200,000,000","$191,450,875","$560,155,383"
tt1216475,Cars 2,Cars 2,2011,106.0,"Adventure,Animation,Comedy",6.2,138914.0,UY,John Lasseter,"producer,writer,director","Jun 24, 2011","$200,000,000","$191,450,875","$560,155,383"
tt1220634,Resident Evil: Afterlife,Resident Evil: Afterlife,2010,96.0,"Action,Adventure,Horror",5.9,153270.0,IE,Paul W.S. Anderson,"writer,producer,director","Sep 10, 2010","$57,500,000","$60,128,566","$295,874,190"
tt1226837,Beautiful Boy,Beautiful Boy,2018,120.0,"Biography,Drama",7.3,30368.0,IT,Felix van Groeningen,"director,writer,assistant_director","Oct 12, 2018","$25,000,000","$7,634,767","$13,031,424"
tt1227378,"Fat, Sick & Nearly Dead","Fat, Sick & Nearly Dead",2010,97.0,Documentary,7.6,8164.0,Unknown,Joe Cross,"writer,producer,director","Apr 1, 2011","$2,600,000",$0,$0
tt1227378,"Fat, Sick & Nearly Dead","Fat, Sick & Nearly Dead",2010,97.0,Documentary,7.6,8164.0,Unknown,Kurt Engfehr,"producer,editor,editorial_department","Apr 1, 2011","$2,600,000",$0,$0
tt1228987,Let Me In,Let Me In,2010,116.0,"Drama,Fantasy,Horror",7.1,107012.0,GB,Matt Reeves,"producer,writer,director","Oct 1, 2010","$20,000,000","$12,134,935","$28,270,399"
tt1232775,Drones,Drones,2010,98.0,Comedy,6.4,483.0,US,Amber Benson,"actress,writer,producer","Dec 31, 2010","$500,000",$0,$0
tt1232775,Drones,Drones,2010,98.0,Comedy,6.4,483.0,US,Adam Busch,"actor,director,producer","Dec 31, 2010","$500,000",$0,$0
tt1235170,The Future,The Future,2011,91.0,"Drama,Fantasy,Romance",6.2,7648.0,Unknown,Miranda July,"writer,actress,director","Jul 29, 2011","$1,000,000","$568,662","$1,239,174"
tt1236254,Wind Walkers,Wind Walkers,2015,93.0,"Action,Horror,Thriller",3.8,234.0,Unknown,Russell Friedenberg,"writer,actor,director","Dec 31, 2015","$2,000,000",$0,$0
tt1241226,Locker 13,Locker 13,2014,90.0,Thriller,4.7,290.0,US,Bruce Dellis,"writer,director,producer","Mar 28, 2014","$300,000","$3,496","$3,496"
tt1241226,Locker 13,Locker 13,2014,90.0,Thriller,4.7,290.0,US,Jason Marsden,"actor,producer,director","Mar 28, 2014","$300,000","$3,496","$3,496"
tt1241226,Locker 13,Locker 13,2014,90.0,Thriller,4.7,290.0,US,Donovan Montierth,"producer,writer,director","Mar 28, 2014","$300,000","$3,496","$3,496"
tt1241226,Locker 13,Locker 13,2014,90.0,Thriller,4.7,290.0,US,Adam Montierth,"producer,writer,director","Mar 28, 2014","$300,000","$3,496","$3,496"
tt1241226,Locker 13,Locker 13,2014,90.0,Thriller,4.7,290.0,US,Matthew Mebane,"camera_department,director,producer","Mar 28, 2014","$300,000","$3,496","$3,496"
tt1245534,Snatched,Snatched,2011,81.0,Comedy,5.5,61.0,US,Joe Cacaci,"writer,producer,director","May 12, 2017","$42,000,000","$45,852,178","$57,852,177"
tt1247436,Unforgettable,Unforgettable,2010,88.0,Documentary,5.9,7.0,US,Eric Williams,"writer,cinematographer,camera_department","Feb 23, 1996","$18,000,000","$2,483,790","$2,483,790"
tt1250777,Kick-Ass,Kick-Ass,2010,117.0,"Action,Comedy",7.6,497363.0,Unknown,Matthew Vaughn,"producer,writer,director","Apr 16, 2010","$28,000,000","$48,071,303","$97,531,134"
tt1254978,Daylight,Daylight,2010,75.0,"Crime,Horror,Thriller",5.1,201.0,Unknown,David Barker,"editor,writer,editorial_department","Dec 6, 1996","$80,000,000","$32,908,290","$158,908,290"
tt1255919,Holmes & Watson,Holmes & Watson,2018,90.0,"Adventure,Comedy,Crime",3.8,17661.0,US,Etan Cohen,"writer,producer,director","Dec 25, 2018","$42,000,000","$30,568,743","$41,926,605"
tt1255953,Incendies,Incendies,2010,131.0,"Drama,Mystery,War",8.3,124156.0,US,Denis Villeneuve,"director,writer,editor","Sep 17, 2010","$6,800,000","$6,857,096","$16,038,343"
tt1261862,The Killing Machine,Icarus,2010,88.0,"Action,Drama,Thriller",5.2,3871.0,FR,Dolph Lundgren,"actor,producer,director","Feb 9, 2010","$6,000,000",$0,$0
tt1265990,The Roommate,The Roommate,2011,91.0,"Drama,Thriller",4.9,33062.0,FI,Christian E. Christiansen,"director,production_manager,writer","Feb 4, 2011","$16,000,000","$37,300,107","$52,545,707"
tt1270087,Behind the Door,Behind the Door,2014,90.0,"Horror,Mystery,Thriller",5.2,50.0,Unknown,Kevin Hicks,"miscellaneous,director,editor","Sep 30, 2011","$50,000,000","$21,302,340","$41,642,166"
tt1270797,Venom,Venom,2018,112.0,"Action,Sci-Fi,Thriller",6.7,275406.0,UY,Ruben Fleischer,"producer,writer,director","Oct 5, 2018","$116,000,000","$213,511,408","$853,628,605"
tt1273221,London Fields,London Fields,2018,118.0,"Crime,Mystery,Thriller",4.3,2871.0,Unknown,Mathew Cullen,"director,producer,executive","Oct 26, 2018","$8,000,000","$252,676","$433,732"
tt1274300,The Tempest,The Tempest,2010,110.0,"Comedy,Drama,Fantasy",5.4,7073.0,US,Julie Taymor,"director,miscellaneous,writer","Dec 10, 2010","$20,000,000","$277,943","$277,943"
tt1282046,Fort McCoy,Fort McCoy,2011,100.0,"Drama,History,War",5.9,319.0,Unknown,Michael Worth,"actor,writer,director","Aug 15, 2014","$3,000,000","$78,948","$78,948"
tt1282046,Fort McCoy,Fort McCoy,2011,100.0,"Drama,History,War",5.9,319.0,Unknown,Kate Connor,"actress,producer,director","Aug 15, 2014","$3,000,000","$78,948","$78,948"
tt1289419,N-Secure,N-Secure,2010,105.0,"Crime,Drama,Thriller",3.6,587.0,US,David M. Matthews,"producer,miscellaneous,writer","Oct 15, 2010","$1,600,000","$2,595,644","$2,595,644"
tt1294226,The Last Song,The Last Song,2010,107.0,"Drama,Music,Romance",6.0,74914.0,Unknown,Julie Anne Robinson,"director,producer","Mar 31, 2010","$20,000,000","$62,950,384","$92,678,948"
tt1296373,The FP,The FP,2011,82.0,Comedy,5.6,1541.0,US,Jason Trost,"actor,writer,director","Mar 16, 2012","$60,000",$0,$0
tt1296373,The FP,The FP,2011,82.0,Comedy,5.6,1541.0,US,Brandon Trost,"cinematographer,special_effects,camera_department","Mar 16, 2012","$60,000",$0,$0
tt1298530,Animals,Animals,2012,94.0,"Drama,Fantasy",6.2,758.0,ES,Marçal Forés,"director,writer,assistant_director","Dec 31, 2008","$5,500,000",$0,$0
tt1302011,Kung Fu Panda 2,Kung Fu Panda 2,2011,90.0,"Action,Adventure,Animation",7.2,228465.0,Unknown,Jennifer Yuh Nelson,"animation_department,art_department,director","May 26, 2011","$150,000,000","$165,249,063","$664,837,547"
tt1303803,Standing Ovation,Standing Ovation,2010,105.0,Musical,3.3,658.0,US,Stewart Raffill,"director,miscellaneous,writer","Jul 16, 2010","$5,600,000","$531,806","$531,806"
tt1313092,Animal Kingdom,Animal Kingdom,2010,113.0,"Crime,Drama",7.3,51576.0,AU,David Michôd,"writer,producer,director","Aug 13, 2010","$4,200,000","$1,044,039","$8,078,683"
tt1314190,3 Backyards,3 Backyards,2010,88.0,Drama,5.0,611.0,US,Eric Mendelsohn,"writer,costume_department,producer","Mar 11, 2011","$300,000","$39,475","$39,475"
tt1319716,It's a Wonderful Afterlife,It's a Wonderful Afterlife,2010,100.0,"Comedy,Drama,Fantasy",5.4,1361.0,GB,Gurinder Chadha,"writer,producer,director","Oct 8, 2010","$10,000,000",$0,"$1,642,939"
tt1320291,The Reef,The Reef,2010,94.0,"Adventure,Drama,Horror",5.8,15194.0,Unknown,Andrew Traucki,"director,producer,writer","Dec 31, 2010","$10,000,000",$0,"$15,037,867"
tt1321869,The Lovers,The Lovers,2013,109.0,"Action,Adventure,Romance",4.6,2867.0,BE,Roland Joffé,"director,producer,writer","Mar 13, 2015","$35,000,000",$0,"$53,899"
